Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Geographical_Distribution,Schedule_Pressure,Budget_Utilization_Rate,Market_Volatility,Integration_Complexity,Resource_Availability,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Project_ID,Project_Type,Methodology_Used,Team_Experience_Level,Project_Phase,Requirement_Stability,Regulatory_Compliance_Level,Technology_Familiarity,Stakeholder_Engagement_Level,Executive_Sponsorship,Funding_Source,Priority_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Risk_Level
10.0,955740.18,14.0,6.55,13.0,3.0,2.0,0.86,0.05,0.77,1.0,4.56,1.0,0.15,0.88,0.22,6.27,0.82,0.84,3.0,0.55,0.0,3.0,3.0,1.0,PROJ_0992,Marketing,Agile,Expert,Initiation,Stable,Low,New,Poor,Strong,External,Medium,Senior PM,Optimizing,Strict,Moderate,0,Time & Materials,Low,Moderate,Occasional,Basic,Advanced,Fully Remote,Basic,Low
21.0,1332750.42,19.0,4.97,12.0,2.0,1.0,0.53,0.07,0.89,2.0,2.22,1.0,0.0,0.98,0.4,4.46,0.39,0.7,6.0,0.64,0.0,1.0,3.0,1.0,PROJ_0993,Construction,Waterfall,Senior,Closure,Volatile,High,New,High,Strong,Mixed,High,Senior PM,Defined,Low,Good,0,Hybrid,Low,High,Occasional,Formal,Basic,Fully Colocated,Basic,Medium
10.0,753019.79,13.0,3.69,8.0,4.0,1.0,3.13,0.09,0.72,1.0,2.85,3.0,0.0,0.91,0.94,1.86,0.73,0.65,1.0,0.58,0.0,6.0,4.0,1.0,PROJ_0994,Manufacturing,Hybrid,Senior,Planning,Moderate,Critical,Expert,Poor,Strong,Internal,Low,Certified PM,Optimizing,Medium,Limited,0,Time & Materials,High,Stable,Strategic,Advanced,Formal,Fully Colocated,Good,Low
10.0,1061694.6,17.0,7.53,11.0,6.0,3.0,1.15,0.06,0.32,3.0,4.84,5.0,0.1,0.86,0.06,2.37,0.34,1.32,3.0,0.79,0.13,4.0,6.0,1.0,PROJ_0995,IT,Agile,Expert,Initiation,Volatile,Medium,Expert,Excellent,Weak,Internal,High,Certified PM,Managed,Strict,Moderate,Legacy/Unstable,Hybrid,Medium,Moderate,Strategic,Basic,Advanced,Hybrid,Basic,Medium
21.0,1290166.52,14.0,3.32,10.0,1.0,1.0,4.4350000000000005,0.07,0.26,2.0,4.92,4.0,0.0,1.3,0.21,5.32,0.52,1.02,0.0,0.55,0.0,6.0,3.0,1.0,PROJ_0996,Construction,Waterfall,Senior,Closure,Stable,Critical,Familiar,High,Moderate,External,Medium,Senior PM,Defined,Low,Moderate,0,Time & Materials,High,Stable,Occasional,Basic,Formal,Partially Colocated,Good,Medium
28.0,1546480.61,25.0,7.02,15.0,3.0,4.0,1.34,0.1,0.87,1.0,1.11,4.0,0.0,1.03,0.42,5.73,0.91,1.04,3.0,0.61,0.0,4.0,11.0,1.0,PROJ_0997,Construction,Waterfall,Expert,Closure,Moderate,Critical,Familiar,Medium,Moderate,External,Low,Senior PM,Managed,Medium,Limited,0,Fixed-Price,Medium,High,Occasional,Formal,Basic,Fully Remote,Excellent,Medium
25.0,1705560.88,20.0,5.21,15.0,2.0,2.0,1.86,0.13,0.88,2.0,3.23,2.0,0.0,1.15,0.75,2.86,0.96,3.3999999999999995,2.0,0.87,0.0,2.0,6.0,1.0,PROJ_0998,Construction,Waterfall,Senior,Execution,Stable,High,Expert,Poor,Moderate,Mixed,Critical,Senior PM,Ad-hoc,Low,Limited,0,Fixed-Price,High,Stable,Occasional,0,Basic,Partially Colocated,Basic,Medium
36.5,2468337.21,36.0,9.48,17.0,4.0,6.0,2.1,0.27,0.98,2.0,2.99,2.0,0.0,0.71,0.11,7.82,0.41,0.15,0.0,0.67,0.0,7.0,12.0,1.0,PROJ_0999,Construction,Waterfall,Mixed,Monitoring,Volatile,Critical,Familiar,Medium,Weak,External,Low,Junior PM,Ad-hoc,Low,Limited,0,Fixed-Price,High,Extreme,Regular,Formal,Basic,Partially Colocated,Basic,Critical
20.0,2053931.63,23.0,9.19,14.0,1.0,5.0,2.97,0.45,0.82,1.0,1.84,4.0,0.0,0.69,0.19,6.22,0.67,0.44,4.0,0.63,0.0,2.0,10.0,1.0,PROJ_1000,R&D,Agile,Mixed,Monitoring,Stable,Low,Expert,Medium,Strong,External,Medium,Certified PM,Managed,Low,Poor,0,Hybrid,High,High,Strategic,Formal,Formal,Partially Colocated,Basic,Medium
9.0,730995.04,12.0,5.28,9.0,5.0,1.0,3.96,0.24,0.9,3.0,1.51,5.0,0.09,0.74,0.39,4.14,0.91,0.1,3.0,0.87,0.27,9.0,1.0,1.0,PROJ_1001,IT,Kanban,Senior,Planning,Stable,Low,Expert,Low,Moderate,Government,Medium,Senior PM,Managed,Strict,Moderate,Modern/Stable,Fixed-Price,Low,Stable,Regular,Formal,Formal,Fully Remote,Basic,Low
11.0,798112.17,11.0,4.92,9.0,4.0,4.0,2.58,0.18,0.83,0.0,4.93,3.0,0.11,1.08,0.03,4.87,0.9,1.05,1.0,0.85,0.0,1.0,4.0,1.0,PROJ_1002,Manufacturing,Agile,Senior,Planning,Stable,Critical,Familiar,High,Strong,Internal,Medium,Senior PM,Optimizing,Low,Moderate,0,Time & Materials,Medium,Moderate,Regular,Formal,Formal,Partially Colocated,Basic,Low
9.0,546144.34,17.0,6.55,8.0,2.0,3.0,0.43,0.2,0.72,1.0,4.94,3.0,0.0,0.68,0.87,8.56,0.59,0.24,1.0,0.81,0.0,7.0,7.0,1.0,PROJ_1003,Healthcare,Hybrid,Mixed,Planning,Moderate,Critical,New,Medium,Strong,Internal,Medium,Junior PM,Managed,High,Moderate,0,Fixed-Price,High,Moderate,First-time,Formal,0,Fully Colocated,Excellent,High
23.0,1945391.26,24.0,10.0,15.0,0.0,4.0,0.4,0.44,0.49,0.0,3.08,4.0,0.04,1.24,0.33,5.73,0.43,1.37,5.0,0.82,0.0,7.0,9.0,1.0,PROJ_1004,R&D,Scrum,Senior,Closure,Moderate,Medium,New,Medium,Moderate,External,High,Senior PM,Optimizing,Medium,Good,0,Fixed-Price,Medium,Extreme,Occasional,Advanced,Basic,Fully Remote,Good,High
20.0,2117735.74,25.0,7.83,19.0,6.0,5.0,0.52,0.32,0.85,3.0,2.57,1.0,0.0,0.91,0.99,8.91,0.33,0.83,1.0,0.87,0.0,3.0,2.0,1.0,PROJ_1005,R&D,Scrum,Senior,Execution,Moderate,High,Familiar,High,Strong,External,Low,Mid-level PM,Ad-hoc,Low,Excellent,0,Fixed-Price,Medium,Moderate,Regular,Basic,Basic,Partially Colocated,Good,High
10.0,1010430.43,19.0,8.11,8.0,0.0,4.0,1.77,0.16,0.64,0.0,0.86,2.0,0.06,1.23,0.02,4.41,0.47,1.3,4.0,0.91,0.7000000000000001,7.0,1.0,1.0,PROJ_1006,IT,Agile,Mixed,Execution,Moderate,Medium,Familiar,Poor,Moderate,Internal,Low,Mid-level PM,Optimizing,High,Poor,Modern/Stable,Time & Materials,Medium,High,Occasional,Advanced,Formal,Fully Colocated,Basic,Medium
36.5,2650876.115,35.0,8.57,21.0,5.0,6.0,2.84,0.33,0.82,1.0,5.87,3.0,0.0,0.99,0.74,9.42,0.3,0.52,4.0,0.59,0.0,10.0,6.0,1.0,PROJ_1007,Construction,Hybrid,Senior,Planning,Moderate,Medium,Familiar,Low,Strong,Mixed,High,Mid-level PM,Defined,High,Moderate,0,Cost-Plus,Medium,High,Regular,Basic,Basic,Partially Colocated,Basic,High
10.0,1019597.09,11.0,4.74,13.0,1.0,2.0,1.71,0.29,0.61,1.0,7.03,1.0,0.07,1.08,0.29,1.09,0.52,0.36,7.0,0.82,0.52,1.0,2.0,1.0,PROJ_1008,IT,Scrum,Mixed,Initiation,Stable,High,New,Medium,Strong,External,Low,Senior PM,Managed,Strict,Moderate,Mixed,Fixed-Price,Medium,Extreme,Regular,0,Formal,Fully Remote,Excellent,Medium
21.0,1184311.5,18.0,5.28,8.0,4.0,3.0,1.57,0.31,0.79,1.0,4.58,2.0,0.0,0.77,0.35,7.87,0.48,3.05,0.0,0.77,0.0,12.0,2.0,1.0,PROJ_1009,Construction,Waterfall,Senior,Initiation,Stable,Low,Familiar,Medium,Strong,External,Critical,Senior PM,Ad-hoc,Low,Good,0,Fixed-Price,High,Stable,First-time,Advanced,0,Hybrid,Basic,High
28.0,1615796.49,25.0,6.97,17.0,2.0,3.0,3.97,0.37,0.81,0.0,2.06,3.0,0.0,0.9,0.02,4.47,0.61,0.26,6.0,0.59,0.0,8.0,6.0,1.0,PROJ_1010,Construction,Hybrid,Mixed,Planning,Moderate,High,Expert,High,Strong,Internal,Critical,Junior PM,Ad-hoc,Medium,Good,0,Time & Materials,High,Extreme,Occasional,Basic,Formal,Partially Colocated,Poor,High
6.0,476405.23,12.0,5.01,8.0,1.0,3.0,0.42,0.32,0.88,2.0,1.89,5.0,0.04,0.69,0.15,1.54,0.48,0.11,1.0,0.99,0.68,1.0,3.0,1.0,PROJ_1011,IT,Agile,Mixed,Monitoring,Stable,Low,Familiar,Excellent,Strong,Mixed,Medium,Mid-level PM,Defined,Strict,Limited,Modern/Stable,Hybrid,High,Stable,First-time,Formal,Formal,Fully Remote,Basic,Medium
9.0,1064153.97,12.0,4.12,10.0,2.0,1.0,0.31,0.18,0.24,1.0,3.52,3.0,0.0,1.21,0.53,2.89,0.56,2.34,4.0,0.89,0.0,11.0,2.0,1.0,PROJ_1012,Healthcare,Scrum,Senior,Planning,Moderate,Critical,Familiar,Excellent,Weak,External,High,Mid-level PM,Defined,High,Good,0,Fixed-Price,Low,Moderate,Strategic,Formal,0,Fully Colocated,Basic,Medium
27.0,1583761.89,26.0,7.23,17.0,1.0,3.0,0.53,0.31,0.61,0.0,2.38,5.0,0.0,0.77,0.49,9.44,0.6,0.24,6.0,0.55,0.0,4.0,11.0,1.0,PROJ_1013,Construction,Waterfall,Senior,Initiation,Stable,Low,Familiar,Medium,Strong,External,Low,Mid-level PM,Ad-hoc,Medium,Moderate,0,Fixed-Price,Medium,High,First-time,0,Advanced,Fully Colocated,Good,High
23.0,1312398.01,20.0,5.05,14.0,1.0,2.0,0.71,0.35,0.73,3.5,2.91,5.0,0.0,1.18,0.4,3.46,0.33,1.37,6.0,0.54,0.0,2.0,9.0,1.0,PROJ_1014,Construction,Waterfall,Mixed,Planning,Moderate,Medium,Familiar,Medium,Moderate,External,Low,Mid-level PM,Ad-hoc,Strict,Limited,0,Fixed-Price,High,Stable,First-time,0,Basic,Hybrid,Basic,Critical
9.0,603784.05,9.0,2.33,7.0,0.0,0.0,1.22,0.4,0.47,1.0,3.49,4.0,0.0,0.75,0.25,1.37,0.6,1.63,4.0,0.78,0.0,10.0,3.0,1.0,PROJ_1015,Manufacturing,Waterfall,Mixed,Execution,Moderate,Medium,New,Medium,Strong,Government,Medium,Mid-level PM,Managed,Low,Poor,0,Time & Materials,High,Stable,Occasional,Basic,Basic,Fully Remote,Excellent,High
10.0,894983.35,10.0,3.61,10.0,0.0,0.0,1.22,0.66,0.87,1.0,5.83,5.0,0.0,0.99,0.1,9.76,0.87,1.02,6.0,0.9,0.1,10.0,2.0,1.0,PROJ_1016,IT,Agile,Mixed,Closure,Volatile,Low,Familiar,High,Strong,Internal,Low,Senior PM,Defined,Medium,Moderate,Mixed,Hybrid,High,Moderate,Strategic,Basic,Advanced,Hybrid,Good,Medium
9.0,514726.16,10.0,2.95,5.0,3.0,0.0,0.74,0.52,0.71,2.0,5.78,3.0,0.0,0.75,0.74,1.82,0.67,0.98,2.0,0.52,0.0,6.0,1.0,1.0,PROJ_1017,Manufacturing,Hybrid,Mixed,Monitoring,Stable,Medium,Familiar,Poor,Weak,External,Critical,Senior PM,Optimizing,Medium,Moderate,0,Time & Materials,Low,Moderate,Regular,Basic,Advanced,Partially Colocated,Basic,Medium
13.0,1055525.45,18.0,6.65,8.0,1.0,3.0,0.31,0.69,0.69,0.0,4.72,1.0,0.0,1.04,0.72,8.05,0.99,1.14,6.0,0.83,0.7000000000000001,7.0,3.0,1.0,PROJ_1018,IT,Scrum,Mixed,Monitoring,Stable,High,Expert,High,Weak,Internal,Low,Mid-level PM,Managed,High,Good,Modern/Stable,Time & Materials,Low,Moderate,Regular,Formal,Basic,Fully Remote,Basic,Medium
21.0,1580690.43,24.0,9.48,17.0,0.0,3.0,1.72,0.39,0.7,3.0,1.54,4.0,0.0,0.93,0.65,8.56,0.65,1.08,4.0,0.8,0.0,6.0,10.0,1.0,PROJ_1019,R&D,Scrum,Mixed,Planning,Volatile,Low,Familiar,Medium,Strong,Mixed,High,Senior PM,Managed,High,Good,0,Cost-Plus,Low,High,Occasional,0,Basic,Partially Colocated,Excellent,High
34.0,1667960.02,30.0,9.49,17.0,0.0,3.0,1.23,0.14,0.68,1.0,3.36,2.0,0.0,1.07,0.2,9.74,0.37,0.92,2.0,0.72,0.0,1.0,5.0,1.0,PROJ_1020,Construction,Waterfall,Mixed,Closure,Moderate,Critical,Familiar,Poor,Moderate,Mixed,Medium,Mid-level PM,Defined,High,Moderate,0,Time & Materials,Low,High,First-time,Basic,Basic,Fully Remote,Basic,High
18.0,1212734.51,18.0,4.73,10.0,2.0,1.0,0.68,0.07,0.5,0.0,1.74,4.0,0.0,0.96,0.18,4.17,0.63,0.22,6.0,0.78,0.0,9.0,6.0,1.0,PROJ_1021,Construction,Waterfall,Expert,Closure,Volatile,Medium,Expert,Poor,Weak,External,Medium,Certified PM,Optimizing,Medium,Good,0,Fixed-Price,High,Moderate,Occasional,Formal,Formal,Fully Colocated,Good,Low
17.0,1327851.03,18.0,7.68,10.0,1.0,4.0,0.33,0.43,0.95,0.0,6.4,2.0,0.06,1.29,0.16,4.29,0.31,3.31,7.0,0.87,0.0,8.0,7.0,1.0,PROJ_1022,Healthcare,Agile,Junior,Closure,Moderate,High,Familiar,Poor,Moderate,External,High,Mid-level PM,Managed,High,Good,0,Fixed-Price,Medium,Extreme,Regular,Formal,Formal,Hybrid,Good,Critical
5.0,531005.52,9.0,4.59,5.0,6.0,1.0,0.69,0.07,0.6,2.0,2.48,2.0,0.2,0.81,0.52,6.13,0.64,2.47,3.0,0.9,0.1,9.0,2.0,1.0,PROJ_1023,IT,Scrum,Expert,Execution,Volatile,Critical,Familiar,Low,Weak,Mixed,Critical,Certified PM,Managed,Low,Limited,Modern/Stable,Cost-Plus,Low,High,Occasional,Basic,Formal,Fully Remote,Excellent,Low
22.0,1311093.45,19.0,5.55,14.0,0.0,2.0,2.03,0.41,0.77,2.0,6.45,3.0,0.0,0.92,0.74,6.85,0.98,0.54,5.0,0.69,0.0,6.0,2.0,1.0,PROJ_1024,Construction,Hybrid,Mixed,Execution,Moderate,Critical,Familiar,Poor,Moderate,External,High,Junior PM,Managed,Medium,Limited,0,Cost-Plus,High,Stable,First-time,Basic,Basic,Partially Colocated,Excellent,Critical
36.5,2650876.115,34.0,7.59,21.0,0.0,4.0,1.59,0.64,0.69,1.0,1.73,4.0,0.0,0.6,0.43,1.75,0.42,0.9,3.0,0.5,0.0,1.0,4.0,1.0,PROJ_1025,Construction,Waterfall,Mixed,Monitoring,Moderate,Critical,Familiar,High,Strong,External,Critical,Mid-level PM,Optimizing,High,Moderate,0,Fixed-Price,High,Moderate,Strategic,Advanced,Formal,Fully Remote,Good,High
11.0,709197.64,9.0,3.12,8.0,5.0,2.0,3.45,0.16,0.33,1.0,3.04,3.0,0.0,0.97,0.22,6.55,0.37,0.82,7.0,0.87,0.0,10.0,3.0,1.0,PROJ_1026,Manufacturing,Scrum,Senior,Monitoring,Moderate,Critical,Expert,Poor,Weak,Internal,Critical,Junior PM,Defined,Low,Limited,0,Cost-Plus,High,Stable,Occasional,Basic,Basic,Partially Colocated,Excellent,High
16.0,1416720.63,16.0,6.6,13.0,0.0,2.0,0.62,0.54,0.59,3.0,5.39,2.0,0.03,0.86,1.0,6.92,0.49,0.5,1.0,0.91,0.61,11.0,4.0,1.0,PROJ_1027,IT,Scrum,Mixed,Initiation,Volatile,Critical,New,Low,Weak,External,High,Junior PM,Defined,Strict,Good,Modern/Stable,Cost-Plus,Medium,High,Strategic,Advanced,Basic,Partially Colocated,Basic,High
9.0,947813.61,8.0,4.06,12.0,1.0,3.0,1.38,0.29,0.85,1.0,2.27,3.0,0.2,0.88,0.01,5.9,0.41,2.63,4.0,0.43,0.7000000000000001,4.0,2.0,1.0,PROJ_1028,IT,Agile,Mixed,Planning,Volatile,Low,Familiar,Poor,Strong,External,Medium,Junior PM,Defined,High,Poor,Modern/Stable,Fixed-Price,Low,Moderate,Regular,Basic,Basic,Fully Colocated,Good,High
7.0,893183.38,14.0,5.18,6.0,3.0,1.0,0.5,0.36,0.89,1.0,1.2,1.0,0.0,1.1,0.4,1.04,0.63,0.39,6.0,0.66,0.7000000000000001,9.0,4.0,1.0,PROJ_1029,IT,Kanban,Mixed,Execution,Moderate,High,Expert,Poor,Moderate,Internal,Critical,Senior PM,Managed,High,Moderate,Mixed,Hybrid,Medium,Moderate,Occasional,Formal,Basic,Hybrid,Good,Medium
24.0,1117654.03,20.0,5.58,14.0,3.0,1.0,0.87,0.07,0.51,2.0,1.53,4.0,0.0,1.15,0.16,2.88,0.46,0.96,1.0,0.87,0.0,10.0,7.0,1.0,PROJ_1030,Manufacturing,Waterfall,Senior,Monitoring,Moderate,Medium,Familiar,Medium,Weak,External,Medium,Mid-level PM,Defined,High,Moderate,0,Fixed-Price,Medium,Stable,Strategic,0,Basic,Partially Colocated,Excellent,Medium
9.0,607011.32,15.0,6.31,6.0,0.0,5.0,0.52,0.13,0.92,2.0,3.46,3.0,0.05,1.09,0.15,3.22,0.56,2.36,2.0,0.78,0.7000000000000001,6.0,2.0,1.0,PROJ_1031,IT,Scrum,Senior,Closure,Moderate,Medium,Familiar,Poor,Moderate,External,Medium,Mid-level PM,Defined,High,Limited,Modern/Stable,Hybrid,Low,High,Occasional,Basic,Basic,Fully Colocated,Basic,Low
6.0,416350.35,6.0,2.99,7.0,3.0,2.0,0.53,0.14,0.73,1.0,1.53,3.0,0.2,1.0,0.54,7.75,0.69,1.73,7.0,0.77,0.0,12.0,1.0,1.0,PROJ_1032,Marketing,Agile,Expert,Planning,Stable,Low,Familiar,Medium,Moderate,External,High,Senior PM,Managed,Low,Limited,0,Time & Materials,Medium,Stable,Regular,0,Advanced,Fully Colocated,Basic,Low
20.0,1752464.23,23.0,8.55,16.0,0.0,3.0,0.6,0.26,0.96,1.0,2.18,4.0,0.0,1.16,0.69,5.1,0.88,0.98,1.0,0.74,0.0,4.0,3.0,1.0,PROJ_1033,R&D,Agile,Senior,Planning,Volatile,Low,New,Medium,Strong,External,High,Senior PM,Defined,Low,Moderate,0,Fixed-Price,Medium,High,Regular,Basic,Formal,Fully Remote,Good,High
30.0,1583413.05,24.0,6.98,15.0,1.0,5.0,3.81,0.27,0.57,0.0,2.03,1.0,0.0,0.95,0.94,4.17,0.38,0.2,7.0,0.69,0.0,4.0,8.0,1.0,PROJ_1034,Construction,Waterfall,Mixed,Initiation,Volatile,Low,Familiar,Low,Strong,Internal,Low,Mid-level PM,Ad-hoc,Low,Poor,0,Hybrid,High,Moderate,Occasional,0,Basic,Fully Remote,Good,Critical
8.0,696576.85,13.0,7.11,9.0,2.0,4.0,0.95,0.32,0.94,2.0,3.25,1.0,0.2,0.77,0.63,3.71,0.58,1.31,6.0,0.84,0.02,4.0,3.0,1.0,PROJ_1035,IT,Scrum,Mixed,Initiation,Stable,Medium,Familiar,Medium,Strong,External,Medium,Senior PM,Defined,Medium,Poor,Legacy/Unstable,Fixed-Price,Low,Stable,Occasional,Basic,Formal,Fully Remote,Good,High
14.0,1058162.54,15.0,6.14,11.0,2.0,2.0,1.32,0.14,0.88,2.0,6.1,5.0,0.02,1.15,0.56,6.16,0.39,0.6,6.0,0.82,0.0,2.0,4.0,1.0,PROJ_1036,R&D,Agile,Senior,Closure,Moderate,High,New,Medium,Moderate,Internal,Low,Mid-level PM,Defined,Low,Moderate,0,Time & Materials,High,Moderate,First-time,Basic,Basic,Partially Colocated,Basic,Medium
7.0,877173.76,15.0,4.88,9.0,2.0,2.0,1.44,0.07,0.95,1.0,4.05,2.0,0.0,1.29,0.34,3.36,0.69,0.41,1.0,0.78,0.03,11.0,4.0,1.0,PROJ_1037,IT,Kanban,Senior,Planning,Volatile,High,Expert,Medium,Weak,Government,High,Junior PM,Managed,High,Moderate,Legacy/Unstable,Hybrid,Low,High,Occasional,Formal,Formal,Partially Colocated,Excellent,Medium
26.0,2125984.53,25.0,10.0,20.0,4.0,4.0,0.67,0.11,0.88,1.0,4.6,5.0,0.0,0.67,0.95,6.1,0.41,1.82,3.0,0.68,0.0,10.0,1.0,1.0,PROJ_1038,R&D,Agile,Senior,Monitoring,Moderate,Critical,New,High,Weak,External,High,Mid-level PM,Defined,Strict,Moderate,0,Hybrid,High,High,Strategic,Basic,Advanced,Fully Remote,Poor,High
18.0,1482512.33,23.0,10.0,16.0,1.0,5.0,1.18,0.42,0.58,0.0,1.56,1.0,0.08,1.12,0.02,7.66,0.34,1.41,2.0,0.7,0.0,1.0,4.0,1.0,PROJ_1039,R&D,Scrum,Mixed,Closure,Moderate,Low,Familiar,High,Weak,Mixed,Medium,Senior PM,Optimizing,Medium,Excellent,0,Fixed-Price,Medium,Extreme,First-time,Advanced,Advanced,Hybrid,Good,Medium
15.0,1089806.14,17.0,4.81,8.0,2.0,1.0,1.37,0.23,0.4,2.0,2.81,4.0,0.0,0.72,0.32,8.37,0.44,0.09,0.0,0.71,0.0,2.0,2.0,1.0,PROJ_1040,Manufacturing,Hybrid,Senior,Monitoring,Volatile,Critical,Expert,High,Moderate,Government,Critical,Senior PM,Managed,Medium,Moderate,0,Hybrid,Medium,Stable,Strategic,Formal,Formal,Hybrid,Good,Medium
12.0,1297368.43,14.0,5.02,11.0,3.0,3.0,1.87,0.67,0.86,1.0,2.81,5.0,0.0,0.81,0.4,3.83,0.56,1.16,7.0,0.9,0.31,8.0,1.0,1.0,PROJ_1041,IT,Kanban,Mixed,Monitoring,Moderate,Medium,Familiar,Poor,Weak,Mixed,High,Mid-level PM,Optimizing,High,Moderate,Modern/Stable,Cost-Plus,Medium,High,Strategic,Formal,Formal,Partially Colocated,Excellent,Medium
4.0,560492.11,6.0,3.52,6.0,1.0,3.0,2.72,0.19,0.56,3.0,2.87,2.0,0.2,0.93,0.77,6.59,0.58,1.83,0.0,0.78,0.13,2.0,2.0,1.0,PROJ_1042,IT,Scrum,Senior,Initiation,Moderate,Medium,Familiar,Low,Moderate,Internal,Critical,Senior PM,Optimizing,Strict,Moderate,Legacy/Unstable,Time & Materials,Low,Moderate,Regular,Formal,Formal,Partially Colocated,Good,Critical
5.0,524119.55,10.0,4.3,5.0,1.0,2.0,1.66,0.58,0.55,0.0,2.75,4.0,0.07,1.21,0.7,1.81,0.53,1.11,4.0,0.5,0.0,2.0,4.0,1.0,PROJ_1043,Marketing,Scrum,Mixed,Initiation,Volatile,High,New,Excellent,Moderate,Government,Critical,Junior PM,Ad-hoc,High,Moderate,0,Time & Materials,High,High,Regular,Basic,0,Hybrid,Good,Critical
8.0,763397.53,12.0,5.77,11.0,0.0,4.0,0.41,0.47,0.93,2.0,5.18,2.0,0.17,0.78,0.15,9.71,0.96,0.81,5.0,0.71,0.65,8.0,2.0,1.0,PROJ_1044,IT,Scrum,Junior,Monitoring,Moderate,High,New,Excellent,Weak,External,Critical,Junior PM,Managed,Low,Excellent,Modern/Stable,Time & Materials,High,Stable,Occasional,Basic,Basic,Partially Colocated,Basic,Medium
36.5,2465899.02,36.0,9.78,23.0,2.0,3.0,1.93,0.37,0.73,3.0,8.715,4.0,0.0,0.73,0.11,7.57,0.3,0.35,1.0,0.69,0.0,11.0,6.0,1.0,PROJ_1045,Construction,Waterfall,Mixed,Monitoring,Stable,Low,New,Poor,Weak,Internal,Medium,Mid-level PM,Managed,Low,Good,0,Hybrid,High,Extreme,Occasional,Formal,Formal,Hybrid,Good,Critical
8.0,775447.06,8.0,4.48,9.0,0.0,3.0,2.31,0.19,0.28,0.0,5.43,4.0,0.2,1.18,0.5,7.05,0.39,1.82,3.0,0.6,0.69,12.0,1.0,1.0,PROJ_1046,IT,Agile,Mixed,Closure,Moderate,Critical,New,Excellent,Strong,External,Medium,Mid-level PM,Managed,High,Excellent,Modern/Stable,Time & Materials,Low,Stable,Regular,Formal,Formal,Fully Colocated,Basic,Medium
18.0,1581969.77,25.0,8.91,14.0,1.0,6.0,0.71,0.43,0.82,1.0,0.39,4.0,0.0,0.94,0.55,6.37,0.31,0.13,5.0,0.82,0.0,5.0,9.0,1.0,PROJ_1047,Marketing,Kanban,Mixed,Execution,Moderate,High,New,Excellent,Moderate,Mixed,High,Junior PM,Optimizing,Low,Moderate,0,Time & Materials,Medium,Extreme,Strategic,Advanced,Basic,Fully Remote,Good,High
10.0,378226.33,7.0,3.0,3.0,2.0,3.0,1.01,0.3,0.27,1.0,3.51,2.0,0.07,0.84,0.81,8.19,0.55,1.86,7.0,0.81,0.0,7.0,1.0,1.0,PROJ_1048,Manufacturing,Waterfall,Mixed,Closure,Volatile,High,New,Medium,Strong,External,Low,Mid-level PM,Optimizing,Medium,Moderate,0,Fixed-Price,High,Stable,Occasional,0,Advanced,Fully Remote,Poor,Medium
7.0,440611.26,8.0,3.68,8.0,2.0,2.0,0.68,0.31,0.78,2.0,4.48,5.0,0.13,0.65,0.99,1.79,0.45,1.24,4.0,0.84,0.0,11.0,1.0,1.0,PROJ_1049,Manufacturing,Hybrid,Mixed,Closure,Moderate,Critical,New,Medium,Moderate,External,Critical,Mid-level PM,Defined,Low,Limited,0,Time & Materials,Low,Stable,Regular,0,Formal,Fully Remote,Poor,High
36.5,2426485.58,32.0,7.47,22.0,2.0,2.0,2.26,0.08,0.62,3.5,3.86,5.0,0.0,0.79,0.09,1.77,0.66,3.3999999999999995,7.0,0.74,0.0,5.0,10.0,1.0,PROJ_1050,Construction,Waterfall,Senior,Monitoring,Moderate,Low,Expert,Poor,Strong,Internal,Critical,Mid-level PM,Ad-hoc,High,Moderate,0,Fixed-Price,High,Moderate,Regular,0,0,Fully Colocated,Basic,High
9.0,1134831.49,17.0,6.9,14.0,3.0,2.0,0.68,0.08,0.9,1.0,1.23,4.0,0.01,0.73,0.47,5.29,0.62,1.22,4.0,0.74,0.7000000000000001,6.0,1.0,1.0,PROJ_1051,IT,Kanban,Senior,Planning,Moderate,Medium,Familiar,Poor,Moderate,Internal,Medium,Senior PM,Managed,Strict,Poor,Modern/Stable,Fixed-Price,Medium,Stable,Strategic,Basic,Formal,Fully Colocated,Basic,Medium
23.0,1093799.17,21.0,7.25,14.0,2.0,3.0,1.43,0.38,0.84,0.0,6.78,4.0,0.0,1.29,0.27,9.41,0.72,0.96,2.0,0.96,0.0,10.0,8.0,1.0,PROJ_1052,Manufacturing,Waterfall,Senior,Execution,Stable,High,New,Excellent,Moderate,External,Low,Senior PM,Optimizing,Low,Good,0,Fixed-Price,High,High,Occasional,Formal,Formal,Fully Colocated,Excellent,Medium
